Input Board,decision,Output Board,Input Graph,Output Graph
O XXO  X ,9,O XXO  XO,"[[2, 0, 1], [1, 2, 0], [0, 1, 0]]","[[2, 0, 1], [1, 2, 0], [0, 1, 2]]"
    O X X,8,    O XOX,"[[0, 0, 0], [0, 2, 0], [1, 0, 1]]","[[0, 0, 0], [0, 2, 0], [1, 2, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
OX  XO   ,8,OX  XO X ,"[[2, 1, 0], [0, 1, 2], [0, 0, 0]]","[[2, 1, 0], [0, 1, 2], [0, 1, 0]]"
 O X     ,3, OXX     ,"[[0, 2, 0], [1, 0, 0], [0, 0, 0]]","[[0, 2, 1], [1, 0, 0], [0, 0, 0]]"
X   O   X,7,X   O O X,"[[1, 0, 0], [0, 2, 0], [0, 0, 1]]","[[1, 0, 0], [0, 2, 0], [2, 0, 1]]"
 OXXO OXX,6, OXXOOOXX,"[[0, 2, 1], [1, 2, 0], [2, 1, 1]]","[[0, 2, 1], [1, 2, 2], [2, 1, 1]]"
O   XXO X,4,O  OXXO X,"[[2, 0, 0], [0, 1, 1], [2, 0, 1]]","[[2, 0, 0], [2, 1, 1], [2, 0, 1]]"
OO OXXX X,3,OOOOXXX X,"[[2, 2, 0], [2, 1, 1], [1, 0, 1]]","[[2, 2, 2], [2, 1, 1], [1, 0, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
O  OX XXO,2,OX OX XXO,"[[2, 0, 0], [2, 1, 0], [1, 1, 2]]","[[2, 1, 0], [2, 1, 0], [1, 1, 2]]"
O X   XXO,5,O X O XXO,"[[2, 0, 1], [0, 0, 0], [1, 1, 2]]","[[2, 0, 1], [0, 2, 0], [1, 1, 2]]"
XOXOO OXX,6,XOXOOXOXX,"[[1, 2, 1], [2, 2, 0], [2, 1, 1]]","[[1, 2, 1], [2, 2, 1], [2, 1, 1]]"
XX OXX OO,7,XX OXXOOO,"[[1, 1, 0], [2, 1, 1], [0, 2, 2]]","[[1, 1, 0], [2, 1, 1], [2, 2, 2]]"
XXO O    ,7,XXO O X  ,"[[1, 1, 2], [0, 2, 0], [0, 0, 0]]","[[1, 1, 2], [0, 2, 0], [1, 0, 0]]"
  XOXO   ,7,  XOXOX  ,"[[0, 0, 1], [2, 1, 2], [0, 0, 0]]","[[0, 0, 1], [2, 1, 2], [1, 0, 0]]"
O  X     ,1,X  X     ,"[[2, 0, 0], [1, 0, 0], [0, 0, 0]]","[[1, 0, 0], [1, 0, 0], [0, 0, 0]]"
  O  X   ,5,  O XX   ,"[[0, 0, 2], [0, 0, 1], [0, 0, 0]]","[[0, 0, 2], [0, 1, 1], [0, 0, 0]]"
O OXX OX ,2,OXOXX OX ,"[[2, 0, 2], [1, 1, 0], [2, 1, 0]]","[[2, 1, 2], [1, 1, 0], [2, 1, 0]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
OXXO X XO,5,OXXOOX XO,"[[2, 1, 1], [2, 0, 1], [0, 1, 2]]","[[2, 1, 1], [2, 2, 1], [0, 1, 2]]"
   O XXO ,3,  XO XXO ,"[[0, 0, 0], [2, 0, 1], [1, 2, 0]]","[[0, 0, 1], [2, 0, 1], [1, 2, 0]]"
 XO   X  ,9, XO   X O,"[[0, 1, 2], [0, 0, 0], [1, 0, 0]]","[[0, 1, 2], [0, 0, 0], [1, 0, 2]]"
 XXO OO X,1,XXXO OO X,"[[0, 1, 1], [2, 0, 2], [2, 0, 1]]","[[1, 1, 1], [2, 0, 2], [2, 0, 1]]"
  XXXOOOX,1,O XXXOOOX,"[[0, 0, 1], [1, 1, 2], [2, 2, 1]]","[[2, 0, 1], [1, 1, 2], [2, 2, 1]]"
O  XOX  X,3,O OXOX  X,"[[2, 0, 0], [1, 2, 1], [0, 0, 1]]","[[2, 0, 2], [1, 2, 1], [0, 0, 1]]"
XXOX OOX ,5,XXOXOOOX ,"[[1, 1, 2], [1, 0, 2], [2, 1, 0]]","[[1, 1, 2], [1, 2, 2], [2, 1, 0]]"
