Input Board,decision,Output Board,Input Graph,Output Graph
OX   O XX,3,OXO  O XX,"[[2, 1, 0], [0, 0, 2], [0, 1, 1]]","[[2, 1, 2], [0, 0, 2], [0, 1, 1]]"
XX XXOOO ,9,XX XXOOOO,"[[1, 1, 0], [1, 1, 2], [2, 2, 0]]","[[1, 1, 0], [1, 1, 2], [2, 2, 2]]"
 X  O    ,4, X XO    ,"[[0, 1, 0], [0, 2, 0], [0, 0, 0]]","[[0, 1, 0], [1, 2, 0], [0, 0, 0]]"
O X  OX X,5,O X OOX X,"[[2, 0, 1], [0, 0, 2], [1, 0, 1]]","[[2, 0, 1], [0, 2, 2], [1, 0, 1]]"
XOXO  OX ,9,XOXO  OXX,"[[1, 2, 1], [2, 0, 0], [2, 1, 0]]","[[1, 2, 1], [2, 0, 0], [2, 1, 1]]"
   X  O  ,5,   XX O  ,"[[0, 0, 0], [1, 0, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 0], [2, 0, 0]]"
 XOXOX XO,1,OXOXOX XO,"[[0, 1, 2], [1, 2, 1], [0, 1, 2]]","[[2, 1, 2], [1, 2, 1], [0, 1, 2]]"
 X       ,3, XO      ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 2], [0, 0, 0], [0, 0, 0]]"
   X     ,6,   X O   ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 0]]"
X X  X OO,7,X X  XOOO,"[[1, 0, 1], [0, 0, 1], [0, 2, 2]]","[[1, 0, 1], [0, 0, 1], [2, 2, 2]]"
  XXOOXO ,1,X XXOOXO ,"[[0, 0, 1], [1, 2, 2], [1, 2, 0]]","[[1, 0, 1], [1, 2, 2], [1, 2, 0]]"
 XOXO XOX,1,OXOXO XOX,"[[0, 1, 2], [1, 2, 0], [1, 2, 1]]","[[2, 1, 2], [1, 2, 0], [1, 2, 1]]"
X  OO  X ,6,X  OOX X ,"[[1, 0, 0], [2, 2, 0], [0, 1, 0]]","[[1, 0, 0], [2, 2, 1], [0, 1, 0]]"
OO O XXX ,9,OO O XXXX,"[[2, 2, 0], [2, 0, 1], [1, 1, 0]]","[[2, 2, 0], [2, 0, 1], [1, 1, 1]]"
   X   OX,5,   XO  OX,"[[0, 0, 0], [1, 0, 0], [0, 2, 1]]","[[0, 0, 0], [1, 2, 0], [0, 2, 1]]"
X       O,7,X     X O,"[[1, 0, 0], [0, 0, 0], [0, 0, 2]]","[[1, 0, 0], [0, 0, 0], [1, 0, 2]]"
  X XOOXO,2, XX XOOXO,"[[0, 0, 1], [0, 1, 2], [2, 1, 2]]","[[0, 1, 1], [0, 1, 2], [2, 1, 2]]"
     OXX ,9,     OXXO,"[[0, 0, 0], [0, 0, 2], [1, 1, 0]]","[[0, 0, 0], [0, 0, 2], [1, 1, 2]]"
 XX O  O ,9, XX O  OX,"[[0, 1, 1], [0, 2, 0], [0, 2, 0]]","[[0, 1, 1], [0, 2, 0], [0, 2, 1]]"
X OX  OXO,5,X OXX OXO,"[[1, 0, 2], [1, 0, 0], [2, 1, 2]]","[[1, 0, 2], [1, 1, 0], [2, 1, 2]]"
   X     ,7,   X  O  ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [2, 0, 0]]"
 O  X  X ,1,OO  X  X ,"[[0, 2, 0], [0, 1, 0], [0, 1, 0]]","[[2, 2, 0], [0, 1, 0], [0, 1, 0]]"
X  X O  O,3,X XX O  O,"[[1, 0, 0], [1, 0, 2], [0, 0, 2]]","[[1, 0, 1], [1, 0, 2], [0, 0, 2]]"
  O   XXO,1,X O   XXO,"[[0, 0, 2], [0, 0, 0], [1, 1, 2]]","[[1, 0, 2], [0, 0, 0], [1, 1, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
OXXX OOXO,5,OXXXXOOXO,"[[2, 1, 1], [1, 0, 2], [2, 1, 2]]","[[2, 1, 1], [1, 1, 2], [2, 1, 2]]"
     XOXO,5,    XXOXO,"[[0, 0, 0], [0, 0, 1], [2, 1, 2]]","[[0, 0, 0], [0, 1, 1], [2, 1, 2]]"
       X ,9,       XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 2]]"
X XOO    ,6,X XOOX   ,"[[1, 0, 1], [2, 2, 0], [0, 0, 0]]","[[1, 0, 1], [2, 2, 1], [0, 0, 0]]"
XO  X X O,8,XO  X XOO,"[[1, 2, 0], [0, 1, 0], [1, 0, 2]]","[[1, 2, 0], [0, 1, 0], [1, 2, 2]]"
 XX  O O ,7, XX  OXO ,"[[0, 1, 1], [0, 0, 2], [0, 2, 0]]","[[0, 1, 1], [0, 0, 2], [1, 2, 0]]"
OXOXX  OX,6,OXOXXO OX,"[[2, 1, 2], [1, 1, 0], [0, 2, 1]]","[[2, 1, 2], [1, 1, 2], [0, 2, 1]]"
   X   XO,3,  OX   XO,"[[0, 0, 0], [1, 0, 0], [0, 1, 2]]","[[0, 0, 2], [1, 0, 0], [0, 1, 2]]"
    X    ,9,    X   O,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 2]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
XO  XOOX ,9,XO  XOOXX,"[[1, 2, 0], [0, 1, 2], [2, 1, 0]]","[[1, 2, 0], [0, 1, 2], [2, 1, 1]]"
OXX  OOXX,4,OXXO OOXX,"[[2, 1, 1], [0, 0, 2], [2, 1, 1]]","[[2, 1, 1], [2, 0, 2], [2, 1, 1]]"
 XOOO XX ,9, XOOO XXX,"[[0, 1, 2], [2, 2, 0], [1, 1, 0]]","[[0, 1, 2], [2, 2, 0], [1, 1, 1]]"
 XO  XO  ,5, XO XXO  ,"[[0, 1, 2], [0, 0, 1], [2, 0, 0]]","[[0, 1, 2], [0, 1, 1], [2, 0, 0]]"
      XO ,1,X     XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
O OO XX X,8,O OO XXXX,"[[2, 0, 2], [2, 0, 1], [1, 0, 1]]","[[2, 0, 2], [2, 0, 1], [1, 1, 1]]"
  O  X   ,5,  O XX   ,"[[0, 0, 2], [0, 0, 1], [0, 0, 0]]","[[0, 0, 2], [0, 1, 1], [0, 0, 0]]"
O  XX O X,6,O  XXOO X,"[[2, 0, 0], [1, 1, 0], [2, 0, 1]]","[[2, 0, 0], [1, 1, 2], [2, 0, 1]]"
  OX OX  ,9,  OX OX X,"[[0, 0, 2], [1, 0, 2], [1, 0, 0]]","[[0, 0, 2], [1, 0, 2], [1, 0, 1]]"
  X    O ,9,  X    OX,"[[0, 0, 1], [0, 0, 0], [0, 2, 0]]","[[0, 0, 1], [0, 0, 0], [0, 2, 1]]"
  X OOXXO,1,X X OOXXO,"[[0, 0, 1], [0, 2, 2], [1, 1, 2]]","[[1, 0, 1], [0, 2, 2], [1, 1, 2]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
    O X  ,8,    O XX ,"[[0, 0, 0], [0, 2, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 1, 0]]"
  XO     ,1,X XO     ,"[[0, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
 XX O OOX,6, XX OXOOX,"[[0, 1, 1], [0, 2, 0], [2, 2, 1]]","[[0, 1, 1], [0, 2, 1], [2, 2, 1]]"
  OO XX X,8,  OO XXOX,"[[0, 0, 2], [2, 0, 1], [1, 0, 1]]","[[0, 0, 2], [2, 0, 1], [1, 2, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
XX XOOOOX,3,XXXXOOOOX,"[[1, 1, 0], [1, 2, 2], [2, 2, 1]]","[[1, 1, 1], [1, 2, 2], [2, 2, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
 XOXO XO ,1,XXOXO XO ,"[[0, 1, 2], [1, 2, 0], [1, 2, 0]]","[[1, 1, 2], [1, 2, 0], [1, 2, 0]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
