board,decision,Input
OX   O XX,3,"[2, 1, 0, 0, 0, 2, 0, 1, 1]"
XX XXOOO ,9,"[1, 1, 0, 1, 1, 2, 2, 2, 0]"
 X  O    ,4,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
O X  OX X,5,"[2, 0, 1, 0, 0, 2, 1, 0, 1]"
XOXO  OX ,9,"[1, 2, 1, 2, 0, 0, 2, 1, 0]"
   X  O  ,5,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
 XOXOX XO,1,"[0, 1, 2, 1, 2, 1, 0, 1, 2]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
X X  X OO,7,"[1, 0, 1, 0, 0, 1, 0, 2, 2]"
  XXOOXO ,1,"[0, 0, 1, 1, 2, 2, 1, 2, 0]"
 XOXO XOX,1,"[0, 1, 2, 1, 2, 0, 1, 2, 1]"
X  OO  X ,6,"[1, 0, 0, 2, 2, 0, 0, 1, 0]"
OO O XXX ,9,"[2, 2, 0, 2, 0, 1, 1, 1, 0]"
   X   OX,5,"[0, 0, 0, 1, 0, 0, 0, 2, 1]"
X       O,7,"[1, 0, 0, 0, 0, 0, 0, 0, 2]"
  X XOOXO,2,"[0, 0, 1, 0, 1, 2, 2, 1, 2]"
     OXX ,9,"[0, 0, 0, 0, 0, 2, 1, 1, 0]"
 XX O  O ,9,"[0, 1, 1, 0, 2, 0, 0, 2, 0]"
X OX  OXO,5,"[1, 0, 2, 1, 0, 0, 2, 1, 2]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 O  X  X ,1,"[0, 2, 0, 0, 1, 0, 0, 1, 0]"
X  X O  O,3,"[1, 0, 0, 1, 0, 2, 0, 0, 2]"
  O   XXO,1,"[0, 0, 2, 0, 0, 0, 1, 1, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXX OOXO,5,"[2, 1, 1, 1, 0, 2, 2, 1, 2]"
     XOXO,5,"[0, 0, 0, 0, 0, 1, 2, 1, 2]"
       X ,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X XOO    ,6,"[1, 0, 1, 2, 2, 0, 0, 0, 0]"
XO  X X O,8,"[1, 2, 0, 0, 1, 0, 1, 0, 2]"
 XX  O O ,7,"[0, 1, 1, 0, 0, 2, 0, 2, 0]"
OXOXX  OX,6,"[2, 1, 2, 1, 1, 0, 0, 2, 1]"
